temp1,temp2,intensity,warm,temp3,gas,outcome
29,874,3171,31.76,0,4944,0
29,873,3152,31.6,2544,4944,0
29,875,3147,31.85,1888,4944,0
16,876,3179,32.9,5392,4928,0
29,875,3224,32.02,1472,4928,0
29,876,2967,32.55,448,4944,0
23,877,3243,32.56,3664,4944,0
29,875,3462,33.2,5072,4928,0
29,874,3504,30.52,224,4944,0
29,874,3106,30.7,2544,4928,0
16,875,2923,32.38,5680,4960,0
29,875,3089,31.32,2752,4928,0
29,874,3164,31.87,1504,4960,0
29,876,3256,32.61,4656,4912,0
29,875,3193,31.05,0,4960,0
29,875,2917,30.75,3152,4944,0
29,874,3560,31.15,880,4928,0
16,877,3033,32.89,5728,4944,0
29,874,3452,30.9,2432,4928,0
29,875,3168,31.02,1632,4928,0
29,877,3002,33.12,5072,4960,0
29,875,2946,31.67,0,4928,0
29,874,3259,31.46,3408,4928,0
29,875,3530,31.42,1664,4928,0
17,875,3479,33.24,4144,4960,1
26,876,3462,33.28,656,4928,1
16,875,3228,32.66,5440,4896,1
16,874,3670,32.56,0,4928,1
29,876,2902,32.92,2832,4944,1
16,870,3171,32.53,4208,4944,1
17,872,3083,32.8,560,4944,1
16,872,2771,32.2,5136,4944,1
29,867,2896,30.66,1776,4944,1
29,869,3210,30.79,784,4944,1
16,872,3129,32.8,4304,4944,1
29,871,3223,30.86,2032,4944,1
29,868,3257,31.55,368,4896,1
17,872,2999,33.04,4928,5040,0
29,870,3373,31.59,2368,4944,0
29,868,3282,31.3,976,4944,0
28,870,3238,32.88,3904,4928,0
29,870,2745,31.55,0,4944,0
29,870,3168,31.5,2272,4944,0
29,871,3545,31.18,1504,4944,0
28,869,0,33,4944,4944,0
29,871,2948,31.46,0,4928,0
29,870,3014,31.42,3328,4944,0
29,870,3550,31.08,656,4944,0
16,870,3040,32.04,5264,4944,0
29,869,3023,30.88,2176,4928,0
29,869,3499,30.74,912,4944,0
16,872,3658,32.65,4976,4960,0
29,870,3284,31.25,2256,4960,0
29,871,2975,31.39,1136,4928,0
21,871,3070,32.92,4544,4944,0
29,872,3054,31.61,0,4928,0
29,872,2770,31.45,2528,4944,0
29,868,3261,31.09,1024,4944,0
16,871,3062,32.48,5616,4944,0
29,870,3044,31.21,1520,4944,0
29,869,2743,30.98,912,4944,0
16,870,3025,32.61,5920,4912,0
29,870,3200,31.53,976,4944,0
29,870,3186,31.36,656,4928,0
16,872,3093,32.62,4816,4944,0
29,870,2938,31.05,2016,4928,0
29,869,3217,31.01,736,4928,0
16,871,3190,32.82,3792,4944,0
16,871,3211,33.39,5264,4928,0
29,868,3225,31.09,0,4944,0
29,871,3050,31.13,3024,4944,0
14,841,6000,39.36,2144,4912,0
16,870,2832,32.83,4432,4928,0
16,870,3380,32.89,1216,4944,0
16,872,3108,32.48,6016,4944,0
29,872,2795,31.6,1696,4928,0
29,870,2951,31.02,368,4880,0
16,871,3040,33.15,5200,4944,0
29,868,3316,32.1,656,4944,0
29,871,2996,31.78,688,4912,0
16,872,3300,32.73,4944,4944,0
29,871,3152,31.64,0,4928,0
29,869,3217,31.98,2016,4944,0
29,870,2846,32.09,1168,4928,0
16,871,3108,32.54,4576,4944,0
29,867,3472,30.89,0,4928,0
29,871,3155,30.8,2800,4912,0
29,870,3242,31.17,1504,4944,0
16,872,3564,32.64,5920,4960,0
29,870,3424,30.97,1472,4944,0
29,869,3527,31.1,1264,4976,0
16,871,3248,33.11,4944,4960,0
29,869,3160,31.09,1568,4928,0
29,870,3089,31.72,720,4960,0
16,872,3059,33.17,4976,4928,0
29,869,2807,31.36,1632,4928,0
29,870,3359,31.19,1232,4960,0
29,870,2899,33.32,3088,4944,0
29,870,3280,33.53,16,4944,0
16,872,2842,32.71,5392,4944,0
29,869,3141,31.55,768,4928,0
29,868,3156,31.19,1168,4928,0
16,880,3585,32.24,3408,4944,0
17,880,3017,32.3,208,4944,0
17,881,3398,32.19,3952,4928,0
25,881,3117,32.25,1088,4960,0
